month,store_id,region,footfall,digital_ad_spend_lakh,festival_month,actual_sales_lakh,predicted_sales_lakh,residual_lakh
2023-09-01,STR-01,West,3110,10.46,0,145.16,148.59,-3.43
2023-09-01,STR-02,North,2230,22.73,0,140.98,144.98,-3.99
2023-09-01,STR-03,South,2267,20.38,0,148.33,143.81,4.51
2023-09-01,STR-04,South,986,20.18,0,101.51,112.7,-11.2
2023-09-01,STR-05,South,1434,6.87,0,92.16,106.46,-14.3
2023-09-01,STR-06,West,1113,18.37,0,128.4,115.75,12.65
2023-09-01,STR-07,East,2016,18.9,0,156.52,140.26,16.26
2023-09-01,STR-08,West,1382,19.51,0,110.3,126.46,-16.16
2023-09-01,STR-09,North,1423,5.28,0,111.87,108.77,3.11
2023-09-01,STR-10,South,3443,6.34,0,167.02,161.94,5.08
2023-10-01,STR-01,West,1310,6.47,1,122.09,117.25,4.83
2023-10-01,STR-02,North,3306,20.69,1,180.2,188.27,-8.07
2023-10-01,STR-03,South,1018,12.15,1,122.61,120.31,2.3
2023-10-01,STR-04,South,1830,21.68,1,144.08,155.15,-11.07
2023-10-01,STR-05,South,1462,5.87,1,120.03,125.02,-4.98
2023-10-01,STR-06,West,3574,17.94,1,202.22,195.92,6.31
2023-10-01,STR-07,East,1040,14.76,1,134.31,129.32,4.99
2023-10-01,STR-08,West,3426,11.53,1,191.41,185.64,5.77
2023-10-01,STR-09,North,2171,22.23,1,170.86,170.45,0.41
2023-10-01,STR-10,South,1110,10.08,1,125.71,128.12,-2.41
2023-11-01,STR-01,West,2003,22.75,1,153.79,157.63,-3.84
2023-11-01,STR-02,North,2035,10.98,1,134.44,143.14,-8.7
2023-11-01,STR-03,South,1860,7.15,1,144.68,134.61,10.07
2023-11-01,STR-04,South,2690,15.85,1,173.11,168.74,4.36
2023-11-01,STR-05,South,1649,5.68,1,127.87,129.67,-1.81
2023-11-01,STR-06,West,2114,12.19,1,149.4,151.61,-2.22
2023-11-01,STR-07,East,3436,8.89,1,182.79,181.25,1.54
2023-11-01,STR-08,West,2168,8.6,1,148.39,150.34,-1.95
2023-11-01,STR-09,North,3013,20.24,1,190.54,188.96,1.58
2023-11-01,STR-10,South,2522,20.68,1,179.2,178.5,0.71
2023-12-01,STR-01,West,2357,15.38,0,132.98,137.41,-4.43
2023-12-01,STR-02,North,1985,5.58,0,123.43,115.59,7.84
2023-12-01,STR-03,South,1520,15.9,0,102.12,119.62,-17.5
2023-12-01,STR-04,South,3571,8.98,0,158.11,162.39,-4.28
2023-12-01,STR-05,South,1928,13.98,0,147.6,129.52,18.08
2023-12-01,STR-06,West,3458,15.63,0,167.68,171.28,-3.6
2023-12-01,STR-07,East,2609,11.14,0,141.84,144.97,-3.13
2023-12-01,STR-08,West,1512,9.34,0,117.79,116.23,1.57
2023-12-01,STR-09,North,1693,22.52,0,131.87,140.4,-8.52
2023-12-01,STR-10,South,940,21.94,0,114.9,121.97,-7.07
2024-01-01,STR-01,West,2190,9.78,0,126.67,125.64,1.03
2024-01-01,STR-02,North,1744,9.72,0,116.0,115.61,0.39
2024-01-01,STR-03,South,1748,19.43,0,134.2,130.5,3.7
2024-01-01,STR-04,South,3172,7.24,0,147.86,150.23,-2.37
2024-01-01,STR-05,South,1717,14.29,0,127.72,124.92,2.8
2024-01-01,STR-06,West,3224,19.3,0,166.55,170.82,-4.27
2024-01-01,STR-07,East,1131,7.96,0,106.92,103.82,3.11
2024-01-01,STR-08,West,1491,11.09,0,106.4,118.4,-11.99
